level_0,index, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
0,0,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,33,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
1,1,109,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,110091.7431,18348.62385,109.0,0.0,109,109,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,9174.311927,9174.311927,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,29,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
2,2,52,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,230769.2308,38461.53846,52.0,0.0,52,52,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,19230.76923,19230.76923,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,29,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
3,3,34,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,352941.1765,58823.52941,34.0,0.0,34,34,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,29411.76471,29411.76471,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,31,329,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
4,4,3,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,4000000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,0,666666.6667,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,32,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
536262,24072,60202640,9,9,322,256,322,0,35.77777778,107.3333333,256,0,28.44444444,85.33333333,9.600907867,0.29899021,3541331.765,4901981.331,10200000,47,51200000,6396441.875,5268489.909,10200000,234,60200000,7518953.625,4645137.318,10300000,637,0,0,0,0,296,296,0.149495105,0.149495105,0,322,30.42105263,91.78375297,8424.25731,0,0,0,1,0,0,0,0,1,32.11111111,35.77777778,28.44444444,296,0,0,0,0,0,0,9,322,9,256,29200,110,1,32,63678.2,22252.53596,103175,50911,10200000.0,34941.27201,10200000,10100000,1
536867,24677,57891,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,34.54768444,57891.0,0.0,57891,57891,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,17.27384222,17.27384222,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,237,110,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
568560,56376,134812,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2522.03068,51.92416105,22468.66667,53230.91125,131123,123,134812,44937.33333,76126.81717,132841,949,132783,66391.5,91544.16521,131123,1660,0,0,0,0,92,72,29.67094917,22.25321188,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
568585,56401,84,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,142857.1429,23809.52381,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,11904.7619,11904.7619,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1
568780,56596,127781,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,2660.802467,54.78122726,21296.83333,50455.70005,124286,75,127781,42593.66667,72173.33699,125932,745,125987,62993.5,86680.68477,124286,1701,0,0,0,0,92,72,31.30355843,23.47766882,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,1
18880,18883,1293792,3,7,26,11607,20,0,8.666666667,10.26320288,5840,0,1658.142857,2137.29708,8991.398927,7.72921768,143754.6667,430865.8067,1292730,2,747,373.5,523.9661249,744,3,1293746,215624.3333,527671.9348,1292730,2,0,0,0,0,72,152,2.318765304,5.410452376,0,5840,1057.545455,1853.437529,3435230.673,0,0,0,1,0,0,0,0,2,1163.3,8.666666667,1658.142857,72,0,0,0,0,0,0,3,26,7,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,2
18881,18884,4421382,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,5.42816703,0.904694505,1473794.0,2552042.631,4420639,340,4421382,1473794.0,2552042.631,4420639,340,0,0.0,0.0,0,0,0,0,0,0,80,0,0.904694505,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,2
18882,18885,1083538,3,6,26,11601,20,0,8.666666667,10.26320288,4380,0,1933.5,1757.789948,10730.58813,8.306123089,135442.25,377725.315,1070206,41,12982,6491.0,8165.669109,12265,717,1083407,216681.4,477167.0977,1070206,41,0,0,0,0,72,132,2.768707696,5.537415393,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,2
18883,18886,80034360,8,4,56,11601,20,0,7.0,5.656854249,8760,0,2900.25,4128.319301,145.6499433,0.149935603,7275850.909,21100000.0,70600000,6,78700000,11200000.0,26300000.0,70600000,247,1354806,451602.0,777575.2592,1349464,190,0,0,0,0,172,92,0.099957068,0.049978534,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7.0,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,939.0,0.0,939,939,39300000.0,44200000.0,70600000,8072664,2
18884,18887,642654,3,6,26,11607,20,0,8.666666667,10.26320288,5840,0,1934.5,2538.919278,18101.49785,14.0044254,80331.75,226824.6943,641694,3,801,400.5,540.9366876,783,18,642493,128498.6,286885.1169,641694,3,0,0,0,0,72,132,4.668141799,9.336283599,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,2
2467754,331033,5008837,4,5,341,3525,341,0,85.25,170.5,2077,0,705.0,990.6447396,771.8358573,1.796824293,626104.625,1768252.596,5002306,47,6531,2177.0,496.9144796,2615,1637,5008656,1252164.0,2500882.604,5003487,49,0,0,0,0,136,168,0.798588575,0.998235718,0,2077,386.6,747.7609838,559146.4889,0,0,0,1,0,0,0,0,1,429.5555556,85.25,705.0,136,0,0,0,0,0,0,4,341,5,3525,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,3
2467755,331034,5008159,7,5,417,11632,417,0,59.57142857,157.6111852,8736,0,2326.4,3796.176603,2405.874095,2.39609006,455287.1818,1507748.058,5001318,1,6841,1140.166667,1318.71656,3050,1,5008060,1252015.0,2500685.137,5003042,181,0,0,0,0,232,168,1.397719202,0.998370858,0,8736,926.8461538,2478.420729,6142569.308,0,0,0,1,0,0,0,0,0,1004.083333,59.57142857,2326.4,232,0,0,0,0,0,0,7,417,5,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,3
2467756,331035,5004971,7,6,381,11632,381,0,54.42857143,144.0044642,5792,0,1938.666667,2544.918912,2400.213708,2.597417647,417080.9167,1443457.55,5000674,4,4297,716.1666667,1076.922544,2847,4,5004804,1000960.8,2237144.241,5002886,47,0,0,0,0,232,200,1.398609502,1.198808145,0,5792,858.0714286,1855.776448,3443906.225,0,0,0,1,0,0,0,0,0,924.0769231,54.42857143,1938.666667,232,0,0,0,0,0,0,7,381,6,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,3
2467757,331036,5004703,7,5,414,11632,414,0,59.14285714,156.4772918,7288,0,2326.4,3351.290617,2406.936036,2.397744681,454973.0,1507321.858,4999719,31,4984,830.6666667,1336.863892,3550,201,5004658,1251164.5,2500939.038,5002573,163,0,0,0,0,232,168,1.398684397,0.999060284,0,7288,926.6153846,2254.526319,5082888.923,0,0,0,1,0,0,0,0,0,1003.833333,59.14285714,2326.4,232,0,0,0,0,0,0,7,414,5,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,3
2467758,331037,5005677,8,6,325,11632,325,0,40.625,114.9048519,5792,0,1938.666667,2544.918912,2388.687884,2.796824485,385052.0769,1387277.632,5002191,13,3486,498.0,575.834467,1779,179,5005624,1001124.8,2237924.044,5004445,13,0,0,0,0,264,200,1.59818542,1.198639065,0,5792,797.1333333,1802.932804,3250566.695,0,0,0,1,0,0,0,0,0,854.0714286,40.625,1938.666667,264,0,0,0,0,0,0,8,325,6,11632,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,3
2212538,74860,1878,3,6,382,11595,382,0,127.3333333,220.5478028,4355,0,1932.5,2182.468304,6377529.286,4792.332268,234.75,229.1298758,577,15,975,487.5,265.1650429,675,300,1780,356.0,399.7880689,950,15,0,0,0,0,104,200,1597.444089,3194.888179,0,4355,1197.7,1886.332364,3558249.789,0,0,0,1,0,0,0,0,2,1330.777778,127.3333333,1932.5,104,0,0,0,0,0,0,3,382,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,4
2212539,74861,1550,3,6,372,11595,372,0,124.0,214.7743001,5792,0,1932.5,2537.820147,7720645.161,5806.451613,193.75,262.9398356,658,3,669,334.5,402.3437585,619,50,1503,300.6,366.3137999,742,3,0,0,0,0,104,200,1935.483871,3870.967742,0,5792,1196.7,2119.419944,4491940.9,0,0,0,1,0,0,0,0,2,1329.666667,124.0,1932.5,104,0,0,0,0,0,0,3,372,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,4
2212540,74862,497,4,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8048.289738,165.6666667,153.2068319,304,1,497,165.6666667,153.2068319,304,1,0,0.0,0.0,0,0,0,0,0,0,128,0,8048.289738,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,128,0,0,0,0,0,0,4,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,4
2212541,74863,1893,3,7,348,11595,348,0,116.0,200.9178937,4344,0,1656.428571,1760.597234,6309033.281,5282.62018,210.3333333,237.8592021,769,3,967,483.5,584.777308,897,70,1765,294.1666667,351.9019276,956,3,0,0,0,0,104,232,1584.786054,3697.834126,0,4344,1085.727273,1579.834427,2495876.818,0,0,0,1,0,0,0,0,2,1194.3,116.0,1656.428571,104,0,0,0,0,0,0,3,348,7,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,4
2212542,74864,1942,3,6,351,11595,351,0,117.0,202.6499445,5803,0,1932.5,2539.075088,6151390.319,4634.397528,242.75,457.0360255,1348,2,1455,727.5,939.7449122,1392,63,1898,379.6,625.9547108,1477,2,0,0,0,0,104,200,1544.799176,3089.598352,0,5803,1194.6,2121.17259,4499373.156,0,0,0,1,0,0,0,0,2,1327.333333,117.0,1932.5,104,0,0,0,0,0,0,3,351,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,4
2206953,69275,16045,5,3,356,1964,356,0,71.2,159.20804,1964,0,654.6666667,1133.915929,144593.3313,498.597694,2292.142857,2236.412934,5415,73,16045,4011.25,1779.76822,5415,1459,9788,4894.0,946.1088732,5563,4225,0,0,0,0,168,104,311.6235587,186.9741352,0,1964,257.7777778,650.5754718,423248.4444,0,0,0,1,0,0,0,0,0,290.0,71.2,654.6666667,168,0,0,0,0,0,0,5,356,3,1964,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,5
2206954,69276,109998919,4,3,525,0,520,0,131.25,259.1773846,0,0,0.0,0.0,4.772774176,0.063636989,18300000.0,44900000.0,110000000,79,110000000,36700000.0,63500000.0,110000000,1460,110000000,55000000.0,77800000.0,110000000,5585,0,0,0,0,136,104,0.036363994,0.027272995,0,520,65.625,183.6035617,33710.26786,0,0,0,1,0,0,0,0,0,75.0,131.25,0.0,136,0,0,0,0,0,0,4,525,3,0,29200,235,2,32,5735.0,0.0,5735,5735,110000000.0,0.0,110000000,110000000,5
2206955,69277,109993343,4,3,531,0,520,0,132.75,258.218738,0,0,0.0,0.0,4.827564883,0.063640215,18300000.0,44900000.0,110000000,46,110000000,36700000.0,63500000.0,110000000,673,110000000,55000000.0,77800000.0,110000000,5391,0,0,0,0,136,104,0.036365837,0.027274378,0,520,66.375,183.332592,33610.83929,0,0,0,1,0,0,0,0,0,75.85714286,132.75,0.0,136,0,0,0,0,0,0,4,531,3,0,29200,235,2,32,5437.0,0.0,5437,5437,110000000.0,0.0,110000000,110000000,5
2206956,69278,109988359,4,3,535,0,520,0,133.75,257.5970691,0,0,0.0,0.0,4.864151123,0.063643099,18300000.0,44900000.0,110000000,83,110000000,36700000.0,63500000.0,110000000,855,110000000,55000000.0,77800000.0,110000000,5417,0,0,0,0,136,104,0.036367485,0.027275614,0,520,66.875,183.1653722,33549.55357,0,0,0,1,0,0,0,0,0,76.42857143,133.75,0.0,136,0,0,0,0,0,0,4,535,3,0,29200,235,2,32,5505.0,0.0,5505,5505,110000000.0,0.0,110000000,110000000,5
2206957,69279,109982960,4,3,530,0,520,0,132.5,258.3763405,0,0,0.0,0.0,4.818928314,0.063646223,18300000.0,44900000.0,110000000,68,110000000,36700000.0,63500000.0,110000000,641,110000000,55000000.0,77800000.0,110000000,5216,0,0,0,0,136,104,0.03636927,0.027276953,0,520,66.25,183.3760773,33626.78571,0,0,0,1,0,0,0,0,0,75.71428571,132.5,0.0,136,0,0,0,0,0,0,4,530,3,0,29200,235,2,32,5303.0,0.0,5303,5303,110000000.0,0.0,110000000,110000000,5
2144246,6558,5169956,8,6,1101,4222,410,0,137.625,185.7586279,3525,0,703.6666667,1395.868284,1029.602573,2.707953414,397688.9231,1368409.299,4951173,112,218783,31254.71429,30686.29396,78311,219,5169833,1033966.6,2218975.06,5002421,840,0,0,0,0,172,132,1.547401951,1.160551463,0,3525,354.8666667,895.1151456,801231.1238,0,0,0,1,0,0,0,0,0,380.2142857,137.625,703.6666667,172,0,0,0,0,0,0,8,1101,6,4222,8192,254,7,20,0.0,0.0,0,0,0.0,0.0,0,0,6
2164385,26700,229,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,52401.74672,8733.624454,229.0,0.0,229,229,229,229.0,0.0,229,229,0,0.0,0.0,0,0,0,0,0,0,40,0,8733.624454,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,6
2164386,26701,5001928,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.399074917,0.799691639,1667309.333,2886995.878,5000925,127,5001928,2500964.0,3535478.752,5000925,1003,0,0.0,0.0,0,0,0,0,0,0,72,32,0.599768729,0.19992291,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0.0,0.0,0,0,0.0,0.0,0,0,6
2164387,26702,5125872,8,7,1659,2514,467,0,207.375,221.2780652,1047,0,359.1428571,420.18386,814.1053854,2.926331364,366133.7143,1320784.35,4954614,73,171258,24465.42857,21945.24622,57169,1001,5125743,854290.5,2033515.304,5004981,2049,0,0,0,0,172,152,1.560710061,1.365621303,0,1047,260.8125,322.5548468,104041.6292,0,0,0,1,0,0,0,0,0,278.2,207.375,359.1428571,172,0,0,0,0,0,0,8,1659,7,2514,8192,262,7,20,0.0,0.0,0,0,0.0,0.0,0,0,6
2164388,26703,214,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,56074.76636,9345.794393,214.0,0.0,214,214,214,214.0,0.0,214,214,0,0.0,0.0,0,0,0,0,0,0,40,0,9345.794393,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,6
